242,85
295,65
267,88
82,66
309,77
345,50
352,85
70,33
325,76
31,66
277,64
297,80
309,78
309,78
275,78
259,88
18,89
316,78
110,88
256,80
325,87
89,81
110,72
275,36
130,85
40,85
300,56
203,86
285,88
318,62
261,75
272,69
354,70
290,85
311,76
343,59
282,84
281,84
282,84
283,88
284,76
305,88
307,55
115,89
192,75
292,88
237,85
76,71
278,84
279,83
278,85
277,84
277,84
278,83
279,84
206,84
75,80
124,84
181,47
288,86
307,88
357,84
283,82
270,79
341,84
294,86
337,81
220,63
271,82
343,79
184,42
321,81
210,62
100,77
115,86
226,59
349,67
206,73
79,86
98,82
191,59
232,78
110,66
218,44
318,84
40,68
98,65
350,72
135,70
27,79
183,48
31,73
95,64
88,63
138,88
240,80
7,40
206,64
81,36
268,81
289,74
31,46
53,49
86,84
299,79
270,84
270,84
272,85
276,88
202,87
228,53
278,81
82,69
335,88
278,88
6,76
301,82
324,87
86,67
267,88
228,77
92,62
218,70
41,42
266,88
26,38
319,82
252,76
270,87
218,44
168,88
251,84
167,49
295,84
257,78
32,37
332,70
28,43
94,83
195,66
62,39
334,80
221,36
305,65
43,35
256,80
197,63
266,88
276,79
359,79
204,62
102,66
86,71
114,89
84,86
267,74
241,30
280,62
308,84
283,61
325,76
97,54
324,81
92,85
319,84
100,46
302,75
328,74
49,38
262,76
356,80
116,84
345,76
138,45
341,79
300,84
245,40
165,40
232,63
14,71
154,44
282,74
185,39
354,63
280,82
138,54
297,76
355,39
190,41
346,52
315,89
166,66
166,66
272,86
211,74
284,64
86,68
6,79
347,73
272,86
356,68
37,79
274,82
198,66
198,76
344,52
341,76
261,79
257,81
239,74
350,82
97,89
218,38
9,78
221,44
286,88
219,73
111,78
150,88
1,74
320,61
126,86
277,88
25,53
282,82
352,66
197,83
355,71
106,64
284,80
305,86
247,35
32,85
4,71
283,86
276,86
270,89
265,77
359,71
112,65
208,65
304,78
291,76
357,81
273,89
2,83
351,86
18,72
276,78
292,59
18,74
345,70
246,85
185,77
232,84
289,85
148,66
103,72
347,71
20,79
21,78
15,86
138,78
300,89
216,55
313,84
262,82
21,72
93,85
219,78
23,76
243,88
301,80
70,61
179,72
71,64
252,88
321,75
320,41
66,26
319,61
293,59
290,55
92,88
19,87
278,84
354,79
264,84
4,76
278,84
219,57
262,76
272,76
294,86
288,84
207,32
202,54
277,81
91,72
265,86
288,86
336,62
192,49
276,84
266,84
22,85
19,82
16,51
10,72
42,89
254,40
104,72
1,74
325,89
204,83
17,84
120,74
308,89
301,74
288,80
286,84
356,86
292,74
9,76
284,84
10,69
281,76
182,73
342,52
297,76
186,74
4,74
92,61
34,71
355,84
100,66
33,86
256,76
20,82
56,62
283,81
286,28
54,72
269,77
35,74
357,52
348,67
222,76
284,76
35,64
274,86
186,47
299,77
294,82
283,75
197,56
268,84
316,89
127,88
36,64
105,89
130,88
104,83
338,55
149,28
264,85
201,85
316,89
279,86
342,57
149,68
292,84
298,89
78,89
111,75
265,86
91,68
272,84
344,74
110,68
271,89
112,71
280,87
326,58
6,86
16,79
232,74
211,89
310,61
233,86
292,88
3,79
88,88
284,85
13,80
286,86
274,86
352,74
278,44
283,84
318,48
340,69
172,24
274,82
110,88
4,72
82,84
183,22
275,86
284,86
275,86
10,83
273,82
355,68
270,81
68,69
30,57
135,68
26,83
30,84
314,48
183,37
70,47
368,77
327,69
308,89
275,82
270,82
272,81
2,62
278,83
10,84
270,83
5,24
22,71
279,76
303,69
33,82
278,72
311,84
102,88
18,73
73,59
14,76
286,86
275,86
309,59
196,87
288,58
194,34
352,80
304,78
303,64
356,69
202,60
5,79
328,46
295,61
263,74
340,75
348,85
206,61
270,70
339,72
100,68
266,81
358,76
350,68
105,68
354,70
355,71
264,80
45,54
350,75
267,76
352,76
301,68
275,75
284,67
352,82
196,44
96,62
278,82
102,69
172,84
279,76
280,80
329,62
286,89
333,62
82,50
292,72
267,78
6,88
349,70
283,73
300,57
302,84
150,46
278,82
290,78
282,34
345,64
357,76
263,80
170,87
282,79
339,60
310,80
321,82
357,84
277,80
285,76
280,84
278,78
96,62
351,76
199,82
0,0
274,74
1,81
92,40
326,85
136,85
114,88
241,28
188,84
277,81
328,76
242,83
342,79
65,35
300,62
273,65
35,76
35,74
285,80
207,69
346,77
251,24
270,81
112,70
108,84
51,59
266,84
267,83
274,82
270,84
144,88
320,85
110,36
296,37
147,77
100,64
278,77
316,84
357,86
274,84
335,68
36,61
206,86
109,89
346,57
297,88
56,43
312,89
27,62
